# volk-harness-report v2
kernel,impl,mode,result,failed_vlens,max_err
volk_16i_permute_and_scalar_add,-,sweep,skip,no-qa-entry,
volk_16i_s32f_convert_32f,a_avx,canary,ok,,
volk_16i_s32f_convert_32f,a_avx2,canary,ok,,
volk_16i_s32f_convert_32f,a_avx512,canary,ok,,
volk_16i_s32f_convert_32f,a_sse,canary,ok,,
volk_16i_s32f_convert_32f,a_sse4_1,canary,ok,,
volk_16i_s32f_convert_32f,generic,canary,ok,,
volk_16i_s32f_convert_32f,u_avx,canary,ok,,
volk_16i_s32f_convert_32f,u_avx2,canary,ok,,
volk_16i_s32f_convert_32f,u_avx512,canary,ok,,
volk_16i_s32f_convert_32f,u_sse,canary,ok,,
volk_16i_s32f_convert_32f,u_sse4_1,canary,ok,,
volk_16i_s32f_convert_32f,a_avx,immutable,ok,,
volk_16i_s32f_convert_32f,a_avx2,immutable,ok,,
volk_16i_s32f_convert_32f,a_avx512,immutable,ok,,
volk_16i_s32f_convert_32f,a_sse,immutable,ok,,
volk_16i_s32f_convert_32f,a_sse4_1,immutable,ok,,
volk_16i_s32f_convert_32f,generic,immutable,ok,,
volk_16i_s32f_convert_32f,u_avx,immutable,ok,,
volk_16i_s32f_convert_32f,u_avx2,immutable,ok,,
volk_16i_s32f_convert_32f,u_avx512,immutable,ok,,
volk_16i_s32f_convert_32f,u_sse,immutable,ok,,
volk_16i_s32f_convert_32f,u_sse4_1,immutable,ok,,
volk_16i_s32f_convert_32f,a_avx,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,a_avx2,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,a_avx512,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,a_sse,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,a_sse4_1,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,generic,impl,ok,,0
volk_16i_s32f_convert_32f,u_avx,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,u_avx2,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,u_avx512,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,u_sse,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,u_sse4_1,impl,ok,,1.02e-07
volk_16i_s32f_convert_32f,generic,misaligned,ok,,
volk_16i_s32f_convert_32f,u_avx,misaligned,ok,,
volk_16i_s32f_convert_32f,u_avx2,misaligned,ok,,
volk_16i_s32f_convert_32f,u_avx512,misaligned,ok,,
volk_16i_s32f_convert_32f,u_sse,misaligned,ok,,
volk_16i_s32f_convert_32f,u_sse4_1,misaligned,ok,,
volk_16i_x2_add_saturated_16i,a_avx2,canary,ok,,
volk_16i_x2_add_saturated_16i,a_avx512bw,canary,ok,,
volk_16i_x2_add_saturated_16i,a_sse2,canary,ok,,
volk_16i_x2_add_saturated_16i,generic,canary,ok,,
volk_16i_x2_add_saturated_16i,u_avx2,canary,ok,,
volk_16i_x2_add_saturated_16i,u_avx512bw,canary,ok,,
volk_16i_x2_add_saturated_16i,u_sse2,canary,ok,,
volk_16i_x2_add_saturated_16i,a_avx2,immutable,ok,,
volk_16i_x2_add_saturated_16i,a_avx512bw,immutable,ok,,
volk_16i_x2_add_saturated_16i,a_sse2,immutable,ok,,
volk_16i_x2_add_saturated_16i,generic,immutable,ok,,
volk_16i_x2_add_saturated_16i,u_avx2,immutable,ok,,
volk_16i_x2_add_saturated_16i,u_avx512bw,immutable,ok,,
volk_16i_x2_add_saturated_16i,u_sse2,immutable,ok,,
volk_16i_x2_add_saturated_16i,a_avx2,impl,ok,,0
volk_16i_x2_add_saturated_16i,a_avx512bw,impl,ok,,0
volk_16i_x2_add_saturated_16i,a_sse2,impl,ok,,0
volk_16i_x2_add_saturated_16i,generic,impl,ok,,0
volk_16i_x2_add_saturated_16i,u_avx2,impl,ok,,0
volk_16i_x2_add_saturated_16i,u_avx512bw,impl,ok,,0
volk_16i_x2_add_saturated_16i,u_sse2,impl,ok,,0
volk_16i_x2_add_saturated_16i,generic,misaligned,ok,,
volk_16i_x2_add_saturated_16i,u_avx2,misaligned,ok,,
volk_16i_x2_add_saturated_16i,u_avx512bw,misaligned,ok,,
volk_16i_x2_add_saturated_16i,u_sse2,misaligned,ok,,
volk_16i_x4_quad_max_star_16i,-,canary,skip,no-qa-entry,
volk_16i_x4_quad_max_star_16i,-,immutable,skip,no-qa-entry,
volk_16i_x4_quad_max_star_16i,-,misaligned,skip,no-qa-entry,
